['NO: ', 'qqvideo\\830.jpg', ' number: ', array(141.63782, dtype=float32)]
['NO: ', 'qqvideo\\835.jpg', ' number: ', array(128.22156, dtype=float32)]
['NO: ', 'qqvideo\\840.jpg', ' number: ', array(115.43147, dtype=float32)]
['NO: ', 'qqvideo\\845.jpg', ' number: ', array(143.51982, dtype=float32)]
['NO: ', 'qqvideo\\85.jpg', ' number: ', array(143.63406, dtype=float32)]
['NO: ', 'qqvideo\\850.jpg', ' number: ', array(129.2991, dtype=float32)]
['NO: ', 'qqvideo\\855.jpg', ' number: ', array(133.9201, dtype=float32)]
['NO: ', 'qqvideo\\860.jpg', ' number: ', array(136.44879, dtype=float32)]
['NO: ', 'qqvideo\\865.jpg', ' number: ', array(118.82339, dtype=float32)]
['NO: ', 'qqvideo\\870.jpg', ' number: ', array(147.16399, dtype=float32)]
['NO: ', 'qqvideo\\875.jpg', ' number: ', array(148.32872, dtype=float32)]
['NO: ', 'qqvideo\\880.jpg', ' number: ', array(139.14983, dtype=float32)]
['NO: ', 'qqvideo\\885.jpg', ' number: ', array(115.86973, dtype=float32)]
['NO: ', 'qqvideo\\890.jpg', ' number: ', array(127.38951, dtype=float32)]
['NO: ', 'qqvideo\\895.jpg', ' number: ', array(128.92464, dtype=float32)]
['NO: ', 'qqvideo\\90.jpg', ' number: ', array(139.77121, dtype=float32)]
['NO: ', 'qqvideo\\900.jpg', ' number: ', array(152.65395, dtype=float32)]
['NO: ', 'qqvideo\\905.jpg', ' number: ', array(134.47606, dtype=float32)]
['NO: ', 'qqvideo\\910.jpg', ' number: ', array(132.47853, dtype=float32)]
['NO: ', 'qqvideo\\915.jpg', ' number: ', array(126.83532, dtype=float32)]
['NO: ', 'qqvideo\\920.jpg', ' number: ', array(132.88654, dtype=float32)]
['NO: ', 'qqvideo\\925.jpg', ' number: ', array(136.82614, dtype=float32)]
['NO: ', 'qqvideo\\930.jpg', ' number: ', array(131.15097, dtype=float32)]
